category,type,joke,flags_nsfw,flags_political,flags_sexist,safe,lang
Dark,twopart,What do 9 out of 10 people enjoy? ... Gang rape.,TRUE,FALSE,FALSE,FALSE,en
Misc,twopart,What's the difference between a school bus and a cactus? ... A cactus keeps the little pricks on the outside.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,What do you use to blindfold an Asian? ... Floss.,FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What's long and hard and has cum in it? ... A cucumber.,TRUE,FALSE,FALSE,FALSE,en
Dark,twopart,What's the difference between Jesus and a hooker? ... The look on their face when you are nailing them.,FALSE,FALSE,FALSE,FALSE,en
Misc,twopart,What is the difference between an oral thermometer and a rectal thermometer? ... The taste.,TRUE,FALSE,FALSE,FALSE,en
Pun,twopart,What's the difference between a poorly dressed man on a unicycle and a well dressed man on a bicycle? ... Attire.,FALSE,FALSE,FALSE,TRUE,en
Dark,single,"I have a fish that can breakdance! Only for 20 seconds though, and only once.",FALSE,FALSE,FALSE,FALSE,en
Pun,twopart,What time did the man go to the dentist? ... Tooth hurt-y.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,I'm not saying my son is ugly... ... But on Halloween he went to tell the neighbors to turn down their TV and they gave him some candy.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"""Knock, knock.""
""Who's there?""

[very long pause]

""Java.""",FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why is 6 afraid of 7 in hexadecimal Canada? ... Because 7 8 9 A?,FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What's the difference between a little girl and a fridge? ... Fridges don't scream when you put your meat in them.,TRUE,FALSE,FALSE,FALSE,en
Pun,single,"I have a joke about trickle down economics, but 99% of you will never get it.",FALSE,FALSE,FALSE,TRUE,en
Dark,twopart,What part of a vegetable are you not supposed to eat? ... The wheelchair.,FALSE,FALSE,FALSE,FALSE,en
Programming,twopart,How can you tell an extroverted programmer? ... He looks at YOUR shoes when he's talking.,FALSE,FALSE,FALSE,TRUE,en
Pun,twopart,What do you call a cow with no legs? ... Ground beef.,FALSE,FALSE,FALSE,TRUE,en
Spooky,twopart,Why didn't the skeleton go for prom? ... Because it had nobody.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"Your momma is so fat, you need to switch to NTFS to store a picture of her.",FALSE,FALSE,FALSE,FALSE,en
Dark,twopart,Why are Americans bad at Dota? ... They can't protect their towers.,FALSE,TRUE,FALSE,FALSE,en
Misc,twopart,What is the least spoken language in the world? ... Sign language.,FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,I WRITE MY JOKES IN CAPITALS. ... THIS ONE WAS WRITTEN IN PARIS.,FALSE,FALSE,FALSE,TRUE,en
Programming,single,"A programmer puts two glasses on his bedside table before going to sleep.
A full one, in case he gets thirsty, and an empty one, in case he doesn't.",FALSE,FALSE,FALSE,TRUE,en
Misc,twopart,What do you use to blindfold an Asian? ... Floss.,FALSE,FALSE,FALSE,FALSE,en
Misc,single,I visited my friend at his new house. He told me to make myself at home. So I threw him out. I hate having visitors.,FALSE,FALSE,FALSE,TRUE,en
Programming,twopart,Why does no one like SQLrillex? ... He keeps dropping the database.,FALSE,FALSE,FALSE,TRUE,en
Misc,single,"Two reasons I don't give money to homeless people.
1) They are going to spend it all on drugs and alcohol
2) I am going to spend it all on drugs and alcohol.",FALSE,FALSE,FALSE,FALSE,en
